电影名称;上映时间;闭映时间;出品公司;导演;主角;影片类型;票房/万;评分;
《吉星高照2015》;2015.3.1;2015.3.22;珠江影业传媒有限公司;晴朗;王祖蓝，陈嘉桦，曾志伟，陈静，苑琼丹，温超，湛琪清，元秋，杨奇煜，黄一山，刘俊纬，黄一飞，廖亦_，田启文，冯勉恒，郑文辉，阮兆祥，刘以达，施明，古明华;爱情，喜剧;1529.7 ;3.1 ;
《枪过境》;2015.4.16;2015.5.3;北京盛世翔和国际影视文化传播有限公司;梁杰;安泽豪，方力申，王双宝，计春华，焦恩俊，闫婕;动作、悬疑、犯罪;137.0 ;5.3 ;
《兔侠之青黎传说》;2015.2.21;2015.3.15;天津北方电影集团有限公司;马元 董大可;黄磊，杨子姗，何云伟，王劲松，马元，王_波;动画;2973.5 ;6.3 ;
《小门神》;2016.1.1;2016.1.24;追光人动画设计（北京）有限公司;王微;高晓松，白客，于心怡，毕啸岚，易小星，季冠霖;剧情;7868.5 ;6.8 ;
《美人鱼》;2016.2.8;2016.3.27;中国电影股份有限公司、星辉海外有限公司、和和(上海)影业有限公司;周星驰;邓超，罗志祥，张雨绮，林允;爱情/喜剧/科幻;339212.8 ;6.8 ;
《西游记之孙悟空三打白骨精》;2016.2.8;2016.3.27;星皓影业有限公司;郑保瑞;郭富城，巩俐，冯绍峰，小沈阳，罗仲谦，陈慧琳，费翔;动作、魔幻;120101.7 ;5.7 ;
《年兽大作战》;2016.2.8;2016.3.6;东阳坏猴子影视文化传播有限公司;张扬;雷佳音，周冬雨，陈赫，陶虹，郭涛，郭子睿，刘仪伟，沈腾，张一白，王迅，郝云，谢娜，熊乃瑾;动画喜剧、奇幻冒险;3451.2 ;5.7 ;
《澳门风云3》;2016.2.8;2016.3.27;博纳影业集团;刘伟强、王晶;周润发，刘德华，张学友，张家辉，向华强，向佐，李宇春，刘嘉玲，王诗龄，余文乐;动作、冒险、喜剧;111818.8 ;4.0 ;
《卧虎藏龙：青冥宝剑》;2016.2.19;2016.4.4;韦恩斯坦国际影业公司（美国）;袁和平;甄子丹，杨紫琼，岑勇康，刘承羽，贾森·斯科特·李;武侠、动作、剧情;25625.3 ;4.7 ;
《叶问3》;2016.3.4;2016.4.17;东方电影制作有限公司;叶伟信;甄子丹，张晋，熊黛林，迈克·泰森，谭耀文;武术、动作、剧情;77028.9 ;6.3 ;
《火锅英雄》;2016.4.1;2016.5.15;新丽传媒股份有限公司、工夫影业股份有限公司、万达影视传媒有限公司等;杨庆;陈坤，白百何，秦昊，喻恩泰;剧情、动作、爱情;37054.2 ;7.2 ;
《熊出没之熊心归来》;2016.1.16;2016.2.28;深圳华强、优扬传媒、乐视影业、珠江影业、大地发行、猫眼影视;丁亮、林永长;张伟（配），张秉君（配），谭笑（配），赵肖宇（配），万丹青（配），孟雨田（配）;动画、冒险、喜剧、合家欢;28775.4 ;6.2 ;
《睡在我上铺的兄弟》;2016.4.1;2016.5.8;乐视影业;张琦;陈晓，杜天皓，刘芮麟，李现，吴优，蓝盈莹;青春、校园、爱情;12782.3 ;5.0 ;
《陆_知马俐》;2016.7.15;2016.8.21;宸铭影业、海宁壹线影视、君竹影视、华谊兄弟、旗舰影业;文章;包贝尔，宋佳，朱亚文，焦俊艳;喜剧、爱情;19206.6 ;5.3 ;
《微微一笑很倾城》;2016.8.12;2016.9.17;上海剧酷文化传播有限公司;林玉芬 ;郑爽，杨洋，毛晓彤，白宇，牛骏峰，郑业成，宋欣佳怡，秦语，张赫，崔航，张彬彬，马春瑞;纯爱、青春、偶像;27583.5 ;5.1 ;
《谁的青春不迷茫》;2016.4.22;2016.5.29;光线传媒;姚婷婷;白敬亭，郭姝彤，李宏毅，王鹤润，丁冠森;青春、校园;17990.4 ;6.4 ;
《夏有乔木雅望天堂》;2016.8.5;2016.9.11;福建恒业电影发行有限公司;赵真奎;吴亦凡，韩庚，卢杉，周元;爱情、青春、犯罪;15640.7 ;4.7 ;
《不朽的时光》;2016.4.15;2016.5.2;欣欣然（北京）文化传媒有限公司、浙江王马影视传媒有限公司;闫然;黄恺杰，爱新觉罗·启星，耿一智，张逗逗，王紫逸，许正庭，焦刚，李易祥;剧情;72.8 ;4.5 ;
《我们的十年》;2016.9.2;2016.9.25;湖南楚人传媒有限公司;马伟豪、刘海;赵丽颖，乔任梁，吴映洁，范逸臣，班嘉佳，冯铭潮;青春、怀旧、爱情;4408.5 ;4.8 ;
《大话西游3》;2016.9.14;2016.10.30;春秋时代影业、乐华娱乐、星光联盟;刘镇伟;韩庚，唐嫣，吴京，张瑶，张超，谢楠，王一博，黄征，莫文蔚，胡静，何炅，钟欣潼，曹承衍，周艺轩;动作、奇幻、爱情、喜剧;36593.3 ;3.7 ;
《致青春·原来你还在这里》;2016.7.8;2016.8.21;北京儒意欣欣文化发展有限公司;周拓如;吴亦凡，刘亦菲，金世佳，李沁，李梦，郝邵文;爱情、青春、剧情;33679.1 ;4.1 ;
《寒战2》;2016.7.8;2016.8.21;;陆剑青、梁乐民;郭富城，梁家辉，杨采妮，文咏珊，周润发，彭于晏，李治廷，杨_宁;剧情、动作、犯罪;67820.3 ;6.9 ;
《危城》;2016.8.12;2016.9.17;伯纳影业、寰宇娱乐、爱奇艺影业、太阳娱乐文化、英明文化、长长影视等;陈木胜;刘青云，古天乐，彭于晏，袁泉，江疏影，吴京;动作、武侠;16737.4 ;5.6 ;
《盗墓笔记》;2016.8.5;2016.9.17;上海电影（集团）有限公司、乐视影业、南派泛娱有限公司;李仁港;鹿晗，井柏然，马思纯，王景春，张博宇，涂圣成;冒险、动作、悬疑;100441.4 ;4.7 ;
《封神传奇》;2016.7.29;2016.9.11;中国星电影有限公司、博纳影业集团;许安、杨龙澄;李连杰，范冰冰，黄晓明，Angelababy，古天乐，梁家辉，向佐，许晴;奇幻、动作、古装;28394.3 ;2.9 ;
《百鸟朝凤》;2016.5.6;2016.6.5;北京聚合影联文化传媒有限公司;吴天明;陶泽如，李岷城;剧情;8692.2 ;8.0 ;
《惊天大逆转》;2016.7.15;2016.8.14;中国电影股份公司、北京海润影业有限公司;李骏;钟汉良，李政宰，郎月婷;动作、悬疑、犯罪;7864.8 ;7.1 ;
《赏金猎人》;2016.7.1;2016.8.14;香港天马电影、上海欣亿传媒、Starhaus Entertainment、Union investment Partners;申太罗;李敏镐，钟汉良，唐嫣，吴千语，樊少皇，徐正曦;动作、喜剧、推理、悬疑;21346.3 ;5.0 ;
《功夫熊猫3》;2016.1.29;2016.3.13;中国电影股份有限公司、梦工场动画影片公司、上海东方梦工厂文化传播有限公司;吕寅荣、亚历山德罗·卡罗尼;（英文版）杰克·布莱克，凯特·哈德森，布莱恩·科兰斯顿，（中文版）成龙，黄磊，白百合，王志文，周杰伦，杨幂;动画，喜剧，动作，家庭，冒险;100200.4 ;7.7 ;
《独立日：卷土重来》;2016.6.24;2016.8.7;二十世纪福斯电影公司;罗兰·艾默里奇;利亚姆·海姆斯沃斯，麦卡·梦露，杰西·厄舍，杰夫·高布伦，夏洛特·甘斯布，杨颖，雪拉·渥德;科幻、动作、冒险;50320.6 ;5.7 ;
《X战警：天启》;2016.6.3;2016.7.17;二十世纪福斯电影公司（美国）;布莱恩·辛格;詹姆斯·麦卡沃伊，迈克尔·法斯宾德，詹妮弗·劳伦斯，尼古拉斯·霍尔特，伊万·彼得斯，索菲·特纳，泰尔·谢里丹，亚历山德拉·西普，柯蒂·斯密特-麦菲，奥斯卡·伊萨克，奥立薇娅·玛恩，本·哈迪;动作、冒险、科幻;80284.1 ;7.8 ;
《美国队长3》;2016.5.6;2016.6.11;美国漫威影业公司（美国）;安东尼·罗素、乔·罗素;克里斯·埃文斯，小罗伯特·唐尼，塞巴斯蒂安·斯坦，斯嘉丽·约翰逊，伊丽莎白·奥尔森，查德维克·博斯曼，安东尼·麦凯，保罗·贝坦尼，保罗·路德，唐·钱德尔，杰瑞米·雷纳，汤姆·赫兰德，丹尼尔·布鲁赫;动作、科幻、冒险;124626.6 ;7.7 ;
《蝙蝠侠大战超人：正义黎明》;2016.3.25;2016.5.15;华纳兄弟影片公司（美国）;扎克·施奈德;本·阿弗莱克，亨利·卡维尔，盖尔·加朵，杰西·艾森伯格，艾米·亚当斯，杰瑞米·艾恩斯;动作、科幻、冒险;61908.2 ;6.6 ;
《魔兽》;2016.6.8;2016.7.16;暴雪娱乐（美国）;邓肯·琼斯;崔维斯·费米尔，托比·凯贝尔，宝拉·巴顿，本·施耐泽，本·福斯特，吴彦祖，多米尼克·库珀，罗伯特·卡辛斯基;动作、冒险、奇幻;147214.9 ;7.8 ;
《忍者神龟2：破影而出》;2016.7.2;2016.8.14;派拉蒙影业公司（美国）、美国尼克影业（美国）、阿里巴巴影业集团有限公司   ;戴夫·格林;梅根·福克斯，斯蒂芬·阿梅尔，阿伦·瑞奇森，威尔·阿奈特，诺尔·费舍，皮特·普劳泽克，弗莱德·阿米森;喜剧、动作、科幻、冒险;39356.3 ;6.3 ;
《疯狂动物城》;2016.3.4;2016.4.17;迪士尼影业;拜恩·霍华德、里奇·摩尔、杰拉德·布什;金妮弗·古德温，杰森·贝特曼，夏奇拉，伊德里斯·艾尔巴，艾伦·图代克，J·K·西蒙斯;动画、动作、冒险;153033.6 ;9.2 ;
