电影名称,评分,评论数,类型,地区,上映年份,总分
小曼哈顿,8.2,8000,喜剧/爱情,美国,2005,65600
玩尽杀绝,7,8000,悬疑/惊悚/犯罪,美国,1998,56000
骄傲的将军,8.1,7999,剧情/动画/短片,中国大陆,1956年,64791.9
火影忍者剧场版：终章,6.8,7998,喜剧/动作/动画/冒险,日本,2014,54386.4
傲慢与偏见与僵尸,5.5,7996,动作/爱情/恐怖,美国/英国,2016,43978
少年菀得,8,7992,剧情/动作/运动,韩国,2011,63936
逍遥骑士,8.4,7984,剧情,美国,1969,67065.6
猎神：冬日之战,5.6,7984,剧情/动作/奇幻/冒险,美国,2016,44710.4
九人禁闭室,6,7983,剧情/悬疑/惊悚/恐怖,英国/罗马尼亚/德国/法国,2004,47898
人参果,8.1,7981,动画/奇幻/冒险,中国大陆,1905,64646.1
爱情限时恋未尽,7.7,7978,剧情/喜剧/爱情,美国,2015,61430.6
芭萨提的颜色,8.8,7973,剧情/喜剧/动作/历史,印度,2006,70162.4
负重前行,8.6,7966,惊悚/短片,澳大利亚,2013,68507.6
O记三合会档,7.3,7964,动作/犯罪,香港,1999,58137.2
厨师、大盗、他的太太和她的情人,7.6,7952,剧情/情色,法国/英国,1989,60435.2
毒品网络,7.6,7948,剧情/惊悚/犯罪,美国/德国,2000,60404.8
幸福,7.3,7946,剧情/爱情,韩国,2007,58005.8
皇室风流史,6.9,7943,剧情/爱情/传记/历史,丹麦,2012,54806.7
猫狗大战：珍珠猫复仇,6.5,7942,喜剧/动作/家庭,美国/澳大利亚Australia,2010,51623
惊魂半小时,6.3,7939,喜剧/动作/犯罪/冒险,美国,2011,50015.7
特种部队 ,6.6,7931,剧情/动作/冒险,法国,2011,52344.6
猎杀红色十月,7.7,7926,动作/惊悚/冒险,美国,1990,61030.2
男人如衣服,5.1,7924,喜剧/爱情,香港/中国大陆,2012,40412.4
将错就错,3.9,7918,喜剧/爱情,中国大陆,2015,30880.2
只有你听见 きみにしか聞こえな,7.5,7917,剧情,日本,2007,59377.5
拉芙蕾丝,6.4,7913,传记,美国,2013,50643.2
破浪,8.1,7912,剧情/爱情,丹麦/瑞典/法国/荷兰/挪威/冰岛/西班牙,1996,64087.2
饥饿的地鼠,7.6,7910,喜剧/动画/短片,美国,1905,60116
定罪,7.9,7907,剧情/传记,美国,2010,62465.3
新碧血剑 新碧血,6.7,7903,喜剧/动作/爱情/武侠/古装,香港,1994,52950.1
生之欲 生き,9,7901,剧情,日本,1952,71109
弯刀杀戮,5.7,7893,动作/惊悚/犯罪,美国/俄罗斯,2013,44990.1
大陆之所以漂移,8.7,7887,喜剧/动画/短片,美国,2010,68616.9
闪亮的日子,7.6,7884,剧情/喜剧/爱情/同性,美国,2003,59918.4
水中仙,7.3,7880,剧情/爱情,爱尔兰/美国,2010,57524
无人生还,6.2,7878,惊悚/恐怖,美国,2012,48843.6
天启四骑士,5.3,7878,剧情/悬疑/惊悚/犯罪,加拿大/美国,2009,41753.4
特工佳丽2：武力巾,6.2,7875,喜剧/动作/犯罪,美国/澳大利亚,2005,48825
攻壳机动队SSS 攻,8.9,7867,动作/科幻/动画,日本,2006,70016.3
人生不再重来,8.2,7863,剧情,印度,2011,64476.6
三轮车夫,7.6,7860,剧情/犯罪,越南/法国/香港,1995,59736
庐山恋,4.9,7851,剧情/爱情,中国大陆,2010,38469.9
蚁蛉,7.7,7850,悬疑/短片/奇幻,英国,2003,60445
口是心非,6.3,7848,爱情/惊悚,美国/德国,2009,49442.4
色戒,7,7845,剧情/爱情/情色/冒险,意大利/法国/印度/德国/瑞士,2002,54915
虎豹小霸王,8.7,7842,剧情/犯罪/西部/冒险,美国,1969,68225.4
进化简史,8.4,7842,动画/短片/历史,英国,1905,65872.8
财神到 財神,5.6,7839,喜剧,中国大陆/香港,2010,43898.4
一路顺疯,5.3,7836,喜剧,中国大陆,2013,41530.8
新郎不是我,6.5,7833,喜剧/爱情,美国/英国,2008,50914.5
SPEC：结 后篇 劇場版,7.2,7832,剧情,日本,2013,56390.4
查令十字街8,8.7,7831,剧情/爱情/传记,英国/美国,1987,68129.7
天堂的颜色,8.7,7823,剧情/家庭,伊朗,1999,68060.1
天空上尉与明日世界,6.6,7823,动作/科幻/悬疑/冒险,美国/英国/意大利,2004,51631.8
蠢蛋搞怪秀,7.9,7822,喜剧,美国,2002,61793.8
机器人大爷 ロボジ,7.6,7815,剧情/喜剧,日本,2012,59394
守日人 Дневной доз,7.4,7813,动作/惊悚/奇幻,俄罗斯,2006,57816.2
好家伙、坏家伙、怪家伙,6.7,7809,动作/西部/冒险,韩国,2008,52320.3
蒸发的摩根夫妇,6.2,7809,喜剧/爱情/犯罪,美国,2009,48415.8
喜爱夜蒲3 喜愛,4.4,7809,剧情/情色,香港,2014,34359.6
赌神3之少年赌神 賭神3之少,6.7,7808,剧情/喜剧/动作,香港,1996,52313.6
美梦成真,7.9,7803,剧情/爱情/奇幻,美国/新西兰,1998,61643.7
不死劫,6.7,7795,剧情/悬疑/惊悚/奇幻,美国,2000,52226.5
恋爱情结 ラブ★コ,7.4,7792,喜剧/爱情,日本,2006,57660.8
见习黑玫瑰,5.6,7790,喜剧/动作,香港,2003,43624
告密者,7.7,7789,剧情/传记/犯罪,德国/加拿大/美国,2010,59975.3
冒牌老爸,7.4,7789,剧情/喜剧/家庭,美国,1999,57638.6
迷踪：第九鹰团,6.3,7786,剧情,美国,2011,49051.8
艾玛好色,6.5,7785,喜剧,挪威,2011,50602.5
正义联盟：闪点悖论,8.1,7784,动作/科幻/动画/奇幻/冒险,美国,2013,63050.4
不怕贼惦记,4.3,7783,剧情/喜剧/悬疑,中国大陆,2011,33466.9
当爱来的时候 當愛來的時,7.4,7781,剧情/家庭,台湾,2010,57579.4
桃色,5.3,7775,剧情/爱情/情色,香港,2004,41207.5
西班牙公寓,8,7766,剧情/喜剧/爱情,法国/西班牙,2002,62128
晚娘2,4.9,7766,剧情/情色,泰国,2012,38053.4
本,8.1,7764,剧情,比利时/荷兰,2007,62888.4
信任,7.2,7763,剧情,美国,2011,55893.6
真心话大冒险,5.1,7760,喜剧/爱情,中国大陆,2012,39576
复制娇妻,6.1,7757,喜剧/科幻/惊悚,美国,2004,47317.7
小妇人,8,7756,剧情/爱情/家庭,美国/加拿大,1994,62048
卡珊德拉之梦,7.1,7756,剧情/爱情/惊悚/犯罪,美国/英国/法国,2007,55067.6
微妙爱情 ,6.9,7754,喜剧/爱情,法国,2011,53502.6
性书大亨,7.9,7741,剧情/情色/传记,美国,1996,61153.9
七天爱上你,5.7,7738,剧情/喜剧/爱情,中国,2009,44106.6
巴黎,7.6,7731,剧情/喜剧/爱情,法国,2008,58755.6
铁面无私,7.7,7730,剧情/惊悚/历史/犯罪,美国,1987,59521
蜜糖与调味：风味绝佳 シュガー＆スパイス ～風味絶,6.9,7727,剧情/爱情,日本,2006,53316.3
利维坦 Левиафа,7.7,7725,剧情,俄罗斯,2014,59482.5
咒怨2(,6.3,7724,悬疑/恐怖,美国,2006,48661.2
年轻时候,6.7,7722,剧情/喜剧,美国,2014,51737.4
六年之痒,6.9,7721,爱情,韩国,2008,53274.9
鬼娃回魂,6.8,7720,悬疑/惊悚/恐怖,美国,1988,52496
龙珠Z：神与神 ドラゴンボールZ,7.2,7715,动画,日本,2013,55548
有顶天酒店 THE 有,7.9,7714,剧情/喜剧/爱情,日本,2006,60940.6
电影往事,7.8,7712,剧情/家庭/儿童,中国大陆,2005,60153.6
乱马OVA：邪恶之鬼 らんま,8.4,7710,剧情/动画,日本,1995,64764
玉子爱情故事 たまこラブストーリ,8.4,7708,喜剧/爱情/动画,日本,2014,64747.2
跟踪孔令学,6.5,7707,喜剧/悬疑,中国大陆,2011,50095.5
谈谈情跳跳舞 Sh,8.2,7706,剧情/喜剧/爱情/歌舞,日本,1996,63189.2
光荣的愤怒,7.9,7706,剧情,中国大陆,2007,60877.4
永远的三丁目的夕阳之1964 A,8.2,7705,剧情,日本,2012,63181
爱恋,6.4,7705,剧情/爱情/情色,法国/比利时,2015,49312
水啸雾都,5.5,7704,动作/灾难,英国/南非/加拿大,2007,42372
华丽的假期,8.3,7701,剧情,韩国,2007,63918.3
野兽刑警,7.6,7701,剧情/动作/悬疑/犯罪,香港,1998,58527.6
超级无敌掌门狗：剃刀边缘,8.8,7700,喜剧/动画/短片,英国,1995,67760
翡翠明珠,5.3,7699,剧情/爱情/古装,香港/中国大陆,2010,40804.7
致亲爱的你 あなた,8.2,7689,剧情,日本,2012,63049.8
爱的边缘,7,7687,剧情/爱情/传记/战争,英国,2008,53809
大而不倒,8.2,7684,剧情,美国,2011,63008.8
秋喜,5.8,7684,剧情/悬疑/惊悚,中国大陆,2009,44567.2
红色恋人,6.9,7680,剧情/爱情,中国大陆,1998,52992
鸡犬不宁,6.6,7666,剧情/喜剧,中国大陆,2006,50595.6
金田一少年事件簿 香港九龙财宝杀人事件 金田一少年の事件簿 香港九龍財宝殺,4.8,7666,剧情/悬疑,日本,2013,36796.8
鬼哭神嚎,6.4,7665,剧情/悬疑/惊悚/恐怖,美国,2005,49056
济公斗蟋蟀,8.1,7660,动画/短片,中国大陆,1905,62046
菊花香,7.3,7658,剧情/爱情,韩国,2003,55903.4
赞鸟历险记,6.6,7658,喜剧/动画/家庭/冒险,南非,2014,50542.8
快乐到死,6.8,7657,剧情/爱情/情色,韩国,1999,52067.6
梦精记,5.9,7656,喜剧/情色,韩国,2002,45170.4
魔鬼山历险记,5.6,7653,科幻/惊悚/家庭/奇幻/冒险,美国,2009,42856.8
天堂回信,9.1,7652,剧情/儿童,中国大陆,1994,69633.2
门,5,7650,惊悚,中国大陆,2007,38250
狼灾记,4.3,7648,剧情,中国大陆/日本/香港/美国/新加坡,2009,32886.4
伴你高飞,8.8,7645,剧情/家庭/冒险,美国,1996,67276
人山人海,6.7,7644,剧情/悬疑/犯罪,中国大陆,2012,51214.8
小猪宝贝,8,7642,家庭/奇幻/冒险,澳大利亚/美国,1995,61136
洛克王国2：圣龙的心,5.6,7641,动画/奇幻/冒险,中国大陆,2013,42789.6
顺流逆流,7.5,7640,剧情/动作/惊悚/犯罪,香港,2000,57300
冰刀双人组,6.7,7640,喜剧/运动,美国,2007,51188
珍爱泉源,7,7630,剧情/爱情/科幻,美国,2006,53410
穿越美国,8.2,7629,剧情/喜剧/冒险,美国,2005,62557.8
咒怨：黑少女 呪怨 黒い,5.2,7626,恐怖,日本,2009,39655.2
师兄撞鬼,6.6,7618,喜剧/动作/奇幻,香港,1990,50278.8
鸭子和野鸭子的投币式自动存放柜 アヒルと鴨のコインロッカ,8,7616,剧情,日本,2007,60928
生死新纪元,5.2,7615,动作/科幻/惊悚/冒险,美国/法国/英国,2008,39598
东京糖衣巧克力 東京マーブルチョコレー,7.9,7614,动画,日本,2008,60150.6
幻体：续命游戏,6.4,7609,科幻/悬疑/惊悚,美国,2016,48697.6
处女泉,8.3,7608,剧情/犯罪,瑞典,1960,63146.4
一切都好,6.5,7601,剧情/家庭,中国大陆,2016,49406.5
贞子3D,3.6,7599,恐怖,日本,2012,27356.4
无敌反斗星,7.3,7594,喜剧/冒险,台湾/香港,1905,55436.2
第十九层空间,4.2,7593,惊悚,香港,2007,31890.6
叛谍追击,6,7583,动作/惊悚,美国/加拿大/比利时,2012,45498
黑白道,6.8,7580,剧情/犯罪,香港,2006,51544
死亡之雪,7,7577,喜剧/动作/恐怖,挪威/冰岛,2014,53039
阿嫂,5.3,7577,剧情/犯罪,香港,2005,40158.1
劝导,7.7,7576,剧情/爱情,英国/美国,2007,58335.2
007之,7.1,7572,动作/惊悚/冒险,英国,1964,53761.2
诈欺游戏 -再生- ライアーゲ,6.5,7571,剧情,日本,2012,49211.5
去年烟花特别多,8,7569,剧情,香港,1998,60552
痴情男孩,8.1,7566,剧情/喜剧/爱情/短片,美国,2010,61284.6
过猴山,8.1,7564,剧情/动画/短片,中国,1905,61268.4
青少年哪吒,7.8,7563,剧情,台湾,1992,58991.4
彩虹老人院 メゾン・ド・,7.9,7558,剧情/同性,日本,2005,59708.2
抓住外国佬,7.4,7550,剧情/动作/犯罪,美国,2012,55870
意大利人在俄罗斯的奇遇 Невероятные приключения итальянцев в Р,8.6,7547,喜剧/冒险,意大利/苏联,1974,64904.2
最终兵器：弓,7,7547,动作/历史,韩国,2011,52829
喜马拉雅,8.6,7537,剧情/冒险,法国/瑞士/英国/尼泊尔,1999,64818.2
芳香之旅,7,7534,剧情,中国,2006,52738
三分之一 サンブンノイ,7.8,7533,剧情/喜剧,日本,2014,58757.4
白头神探,7.7,7532,喜剧/动作/爱情/犯罪,美国,1988,57996.4
王子殿下,6,7530,喜剧/奇幻/冒险,美国,2011,45180
2012年第30届伦敦奥运会开幕,7.5,7526,运动,英国,2012,56445
戏王之王 戲王之,6.1,7517,喜剧,香港,2007,45853.7
A面,5.7,7512,剧情/喜剧,中国大陆,2010,42818.4
日落之后,6.6,7511,剧情/喜剧/动作/犯罪,美国,2004,49572.6
烈日当空 烈日當,7.5,7507,剧情,香港,2008,56302.5
不朽,6.9,7496,动作/惊悚/犯罪,法国,2010,51722.4
爱情储蓄罐,6.6,7493,喜剧/爱情,韩国,2011,49453.8
人狼,8.6,7491,剧情/动画/惊悚/奇幻,日本,1999,64422.6
萧红,6.4,7482,剧情/传记,中国大陆,2013,47884.8
地球之夜,8.3,7477,剧情/喜剧,法国/英国/德国/美国/日本,1991,62059.1
女高怪谈1：死亡教,6.2,7477,剧情/恐怖,韩国,1998,46357.4
细路祥 細路,8.4,7474,剧情,香港,2000,62781.6
梅奇知道什么,8.2,7471,剧情,美国,2012,61262.2
生死格斗,5.2,7460,动作/冒险,美国/德国/英国,2006,38792
缩水情人,8.4,7458,剧情/爱情/短片/情色,西班牙,1905,62647.2
鞋匠人生,6.5,7458,剧情/喜剧/奇幻,美国,2014,48477
勿忘蛛 わすれなぐ,7.6,7452,剧情/动画,日本,2012,56635.2
情动假日,7.7,7451,剧情/爱情,美国,2013,57372.7
德州电锯杀人狂,7.1,7446,悬疑/恐怖,美国,1974,52866.6
告密者,6.9,7446,剧情/喜剧/惊悚,美国,2009,51377.4
悭钱家族,6.1,7446,喜剧,香港,2002,45420.6
简爱,8,7441,剧情/爱情,法国/意大利/英国/美国,1996,59528
婚纱照,7.5,7441,剧情/喜剧/爱情/短片,中国大陆,2013,55807.5
丛林奇兵,6.8,7441,喜剧/动作/惊悚/冒险,美国,2004,50598.8
杀戒,5.2,7437,爱情/悬疑,中国大陆,2013,38672.4
长发公主番外篇：麻烦不断,8.3,7428,喜剧/动画/短片,美国,2012,61652.4
情不自禁,8.4,7425,剧情,中国大陆,1905,62370
开心鬼上错身 開心鬼上錯,6.7,7425,喜剧,香港,1905,49747.5
恋恋三季,8.3,7423,剧情,越南/美国,1999,61610.9
四头狮子,7.7,7417,剧情/喜剧,英国,2010,57110.9
巴尼的人生,8.3,7416,剧情,加拿大/意大利,2010,61552.8
弟弟 おとう,8.1,7410,剧情,日本,2010,60021
老妇杀手,7.1,7391,喜剧/惊悚/犯罪,美国,2004,52476.1
这里的黎明静悄悄 А зори здесь т,7.6,7390,剧情/战争,俄罗斯,2015,56164
朋友,6.5,7389,动作,韩国,2013,48028.5
苏菲的抉择,8.3,7380,剧情/爱情,英国/美国,1982,61254
不存在的女儿,7.7,7380,剧情/家庭,美国,2008,56826
海月姬 海月,7,7380,喜剧,日本,2014,51660
恋之罪 恋の,6.6,7369,剧情/惊悚/情色/犯罪,日本,2011,48635.4
空前绝后满天飞,7.4,7366,喜剧,美国,1980,54508.4
将军的女儿,7.2,7365,剧情/悬疑/惊悚/战争/犯罪,美国/德国,1999,53028
佛兰德斯的狗 フランダースの,8.9,7363,剧情/爱情/动画,日本/美国,1997,65530.7
一万年以后,5.2,7363,动作/动画/奇幻,中国大陆,2015,38287.6
最高通缉犯,6.9,7356,惊悚,美国/英国/德国,2014,50756.4
四月一日灵异事件簿剧场版：仲夏夜之梦 劇場版xxxHO,8.5,7354,动画,日本,2005,62509
荒村客栈,4,7353,悬疑/惊悚/恐怖,中国大陆,2008,29412
旺角监狱,6.3,7345,剧情/犯罪,香港,2009,46273.5
毁灭战士,6,7345,动作/科幻/惊悚/恐怖/冒险,英国/捷克/德国/美国,2005,44070
盖章,8.5,7342,喜剧/爱情/短片,美国,1905,62407
风筝,7.6,7341,动作/爱情/惊悚,印度,2010,55791.6
黑暗边缘,6.8,7339,剧情/惊悚/犯罪,美国/英国,2010,49905.2
枕边书,6.7,7333,剧情/爱情/情色,法国/英国/荷兰/卢森堡,1997-02-20/1996-06-06,49131.1
心理医师,7.2,7330,剧情,美国,2009,52776
神秘村,6.9,7330,悬疑/惊悚,美国,2004,50577
浪客剑心：星霜篇 るろうに剣心 -明治剣客浪漫譚,8,7329,剧情/动作/爱情/动画,日本,2001,58632
神偷谍影 神偷諜,6.8,7323,剧情/动作,香港,1997,49796.4
大叔，我爱你,5.5,7323,喜剧/爱情,中国大陆,2013,40276.5
今天,7.5,7320,剧情,韩国,2011,54900
电车男 電車,6.8,7319,喜剧/爱情,日本,2005,49769.2
名侦探柯南：江户川柯南失踪事件～史上最惨的两天～ 名探偵コナン 江戸川コナン失踪事件～史上最悪の二日,6.8,7319,剧情/动画,日本,2014,49769.2
三毛流浪记,8.1,7317,喜剧,中国大陆,1949,59267.7
呼啸山庄,6.6,7316,剧情/爱情,英国,2011,48285.6
甜蜜的生活,8.6,7314,剧情,意大利/法国,1960,62900.4
街区大作战,6.2,7309,喜剧/动作/科幻,英国/法国,2011,45315.8
镜中的梦幻城 犬夜叉 鏡の中の夢,8,7307,喜剧/动作/爱情/动画,日本,2002,58456
粉红色的火烈鸟,5.4,7304,喜剧/恐怖/情色/犯罪,美国,1972,39441.6
桃色交易,7.4,7295,剧情/爱情,美国,1993,53983
荒野大飚客,7,7295,喜剧/动作/冒险,美国,2007,51065
卧底肥妈,6.8,7294,喜剧/动作/惊悚,美国,2006,49599.2
魔兽战场,5.8,7292,动作/科幻/冒险,美国/德国,2008,42293.6
猛男诞生记,5.6,7292,喜剧/情色/奇幻,韩国,2008,40835.2
定制伴郎,7.1,7287,喜剧,美国,2015,51737.7
机器人与弗兰克,7.5,7285,剧情/喜剧/科幻,美国,2012,54637.5
十区车站,8.6,7283,爱情/短片,法国/德国,2004,62633.8
拆散专家,3.5,7283,喜剧/爱情,中国大陆/新加坡,2014,25490.5
大婚告急,6.5,7281,剧情/喜剧/爱情,美国,2011,47326.5
检察官外传,7,7276,喜剧/犯罪,韩国,2016,50932
鬼遮眼,6.6,7275,恐怖,美国,2014,48015
怪医杜立德,6.8,7271,喜剧/家庭,美国,1998,49442.8
奇迹世界,7.7,7270,短片,中国,1905,55979
陵园路口,7.7,7262,剧情,英国,2010,55917.4
唐顿庄园：2013圣,8.2,7261,剧情/爱情/家庭,英国,2013,59540.2
勇敢的人,7.3,7255,剧情/惊悚/犯罪,美国/澳大利亚,2007,52961.5
致命弯道4：血腥起,5.3,7254,恐怖,美国,2011,38446.2
钢之炼金术师：叹息之丘的圣星 鋼の錬金術師 嘆きの丘の聖な,7.3,7250,剧情/动作/动画/奇幻/冒险,日本,2011,52925
星际之门,7.2,7243,动作/科幻/奇幻/冒险,法国/美国,1994,52149.6
叛国者,7.1,7243,剧情/惊悚/犯罪,美国,2008,51425.3
绢,6.9,7236,剧情/爱情,加拿大/法国/意大利/英国/日本,2007,49928.4
瓦尔特保卫萨拉热窝,8.6,7230,战争,南斯拉夫,1972,62178
我的青春期,5.9,7230,剧情/爱情,中国大陆,2015,42657
逃学威凤,6.6,7228,喜剧/爱情/犯罪,韩国,2005,47704.8
哈拉十诫,6.5,7219,喜剧,美国,2007,46923.5
皮帕李的私生活,6.9,7215,剧情/喜剧/爱情,美国,2009,49783.5
蒙羞之旅,6.3,7211,喜剧,美国,2014,45429.3
世界奇妙物语 2012年秋之特別篇 世にも奇妙な物,7.5,7209,悬疑/恐怖,日本,2012,54067.5
图书馆战争 図書館戦,7,7209,剧情/动作/科幻,日本,2013,50463
莫斯科不相信眼泪 Москва слезам не в,8.5,7208,剧情/喜剧/爱情,苏联,1980,61268
27个遗失,7.8,7205,剧情/喜剧/爱情,英国/法国/德国/格鲁吉亚,2001,56199
疯狂的兔子,6.5,7205,科幻/惊悚/儿童,中国大陆,1905,46832.5
街头之王,6.5,7203,剧情/动作/惊悚/犯罪,美国,2008,46819.5
伊波拉病毒,7.1,7200,喜剧/恐怖,香港,1996,51120
老师不是人,6.8,7199,科幻/悬疑/惊悚/恐怖,美国,1998,48953.2
你是下一个,6.5,7191,惊悚/恐怖,美国,2011,46741.5
白昼冷光,4.9,7190,动作/惊悚,美国/西班牙,2012,35231
咖啡时光 珈琲時,7.5,7188,剧情,日本/台湾,2003,53910
冬冬的假期,8.4,7180,剧情,台湾,1905,60312
甜蜜幼儿园,7.2,7172,喜剧/爱情,德国,2007,51638.4
花美男连锁恐怖事件,6.2,7168,剧情,韩国,2007,44441.6
抢劫坚果店,6.3,7166,喜剧/动画/冒险,加拿大/韩国/美国,2014,45145.8
喜羊羊与灰太狼之兔年顶呱呱,6.3,7150,喜剧/动画,中国大陆,2011,45045
星际旅行2：可汗怒,7.7,7148,动作/科幻/惊悚/冒险,美国,1982,55039.6
塞巴斯蒂安的巫毒,8,7146,动画/恐怖/短片,美国,2008,57168
地狱医院,7,7146,悬疑/惊悚,美国,2014,50022
鬼水怪谈 仄暗い水の底か,6.8,7146,剧情/悬疑/惊悚/恐怖,日本,2002,48592.8
蜘蛛巢城 蜘蛛巣,8.4,7144,剧情/动作/惊悚/战争/奇幻,日本,1957,60009.6
迷途追凶 報,5.8,7140,惊悚/犯罪,香港,2011,41412
青魇,6.1,7139,剧情/悬疑/恐怖,中国大陆/香港,2012,43547.9
自由坠落,7.5,7137,剧情/爱情/同性,德国,2013,53527.5
出租车,8,7135,剧情/喜剧,伊朗,2015,57080
怒火保镖,5.2,7131,剧情/动作/犯罪,美国,2015,37081.2
夏日福星,7.1,7124,喜剧/动作,香港,1985,50580.4
你妈妈也一样 Y,7.5,7109,剧情/情色,墨西哥,2001,53317.5
古惑仔激情篇之洪兴大飞哥 古惑仔激情篇洪興大飛,6.4,7109,剧情,香港,1999,45497.6
星际旅行1：无限太,7.4,7107,科幻/悬疑/奇幻/冒险,美国,1979,52591.8
超级无敌掌门狗：月球野餐记,8.6,7098,喜剧/动画/短片/家庭/冒险,英国,1905,61042.8
棒子老虎鸡,4.7,7096,喜剧/爱情,中国大陆,2007,33351.2
亚特兰蒂斯：失落的帝国,7.4,7092,科幻/动画/家庭/冒险,美国,2001,52480.8
一九八四,7.7,7086,剧情/爱情/科幻/惊悚,英国,1984,54562.2
吴清源,6.8,7082,剧情/爱情/传记,中国大陆/日本,2007,48157.6
想要拥抱你 抱きしめたい -真実,7.2,7077,剧情/爱情,日本,2014,50954.4
三日刺杀,6.4,7077,剧情/动作/犯罪,美国/法国/希腊/俄罗斯,2014,45292.8
灵动：鬼影实录,6,7077,惊悚/恐怖,美国,2010,42462
致命弯道,5.9,7077,惊悚/恐怖/犯罪,美国,2009,41754.3
激战运钞车,5.7,7076,动作/惊悚/犯罪,美国,2011,40333.2
最后一周,8,7074,剧情/冒险,加拿大,2009,56592
爱情银行,6,7068,剧情/爱情,中国大陆,2013,42408
嘿咻卡,5.9,7064,喜剧,美国,2011,41677.6
彗星美人,8.5,7063,剧情,美国,1950,60035.5
Jose与虎与鱼们 ジョゼと,8.3,7063,剧情/爱情,日本,2003,58622.9
西部慢调,7.4,7063,动作/西部,英国/新西兰,2015,52266.2
摇椅,8.6,7056,剧情/动画/短片/家庭/历史,加拿大,1905,60681.6
梅子鸡之味,7.9,7054,剧情/喜剧,法国/德国,2011,55726.6
奥兰多,8.1,7050,剧情/爱情,英国/俄罗斯/法国/意大利/荷兰,1992,57105
像鸡毛一样飞,7.7,7048,剧情,中国大陆,2002,54269.6
再见金华站,8.7,7046,剧情/短片,中国大陆,2011,61300.2
幸存的女孩,6.6,7046,喜剧/恐怖,美国,2015,46503.6
天行者,6.3,7043,剧情/动作/犯罪,香港/中国,2006,44370.9
重见天日,7.5,7041,剧情/动作/传记/战争/冒险,美国,2006,52807.5
暗杀教室 暗殺教,6.3,7040,剧情/动作,日本,2015,44352
暴走吧，女人,4.4,7040,剧情/冒险,中国大陆,2013,30976
头七 頭,6.2,7039,恐怖,香港,2009,43641.8
生于七月四日,7.7,7032,剧情/传记/战争,美国,1989,54146.4
加油站袭击事件,7.6,7029,喜剧,韩国,1999,53420.4
小熊维尼历险记,8.1,7025,动画/歌舞/奇幻,美国,1977,56902.5
蠢蛋进化论,6.5,7022,喜剧/科幻/惊悚/冒险,美国,2006,45643
谍影特工,6.3,7022,惊悚,美国,2016,44238.6
晚春 晩,8.7,7021,剧情/家庭,日本,1949,61082.7
两个情人,6.8,7014,剧情/爱情,美国,2008,47695.2
巴菲的奇妙命运,8.4,7009,剧情/喜剧/爱情,印度,2012,58875.6
觉醒,6.8,7009,悬疑/惊悚/恐怖,英国,2011,47661.2
撕票风云 撕票風,6,7009,动作/惊悚,香港,2010,42054
性爱狂想曲 みんな～やってる,7.2,7007,喜剧,日本,1995,50450.4
再爱一次好不好,3,6999,喜剧/爱情,中国大陆,2014,20997
爸...你好吗？ 爸,8.2,6995,剧情,台湾,2009,57359
灵犬雪莉 ,8.2,6990,剧情/冒险,法国,2013,57318
龙三和他的七人党 龍三と七人の子分た,7.5,6990,喜剧/动作,日本,2015,52425
爱丽丝梦游仙境,8.1,6989,剧情/奇幻/冒险,美国,1933,56610.9
曾是超人的男子,7.3,6989,剧情/喜剧,韩国,2008,51019.7
幻影车神：魔盗激情,7,6989,动作/惊悚/犯罪,印度,2014,48923
乌龟意外之速游 亀は意外と速く泳,7.5,6981,喜剧,日本,2005,52357.5
追凶,4.3,6977,悬疑/惊悚/犯罪,香港,2012,30001.1
神女,8.9,6976,剧情,中国大陆,1905,62086.4
当男人爱上女人,7.7,6976,剧情/爱情,美国,1994,53715.2
活火熔城,6.9,6974,剧情/动作/灾难,美国,1997,48120.6
初恋未满,6.3,6969,剧情/爱情,中国大陆,2013,43904.7
公寓,6.3,6967,恐怖,韩国,2006,43892.1
神经刀与飞天猫 神經刀與飛天,6.6,6966,喜剧/奇幻/武侠/古装,香港,1993,45975.6
风吹麦浪,7.9,6957,剧情/历史/战争,爱尔兰/英国/德国/意大利/西班牙/法国/比利时/瑞典,2006,54960.3
新乌龙女校2：弗里顿的黄金的传,6.4,6957,喜剧/冒险,英国,2009,44524.8
青春年少,8,6946,剧情/喜剧,美国,1999,55568
怕怕不怕,8.4,6945,动画/短片,中国大陆,2010,58338
看不见的世界,7.9,6944,剧情/同性,南非/英国,2007,54857.6
银行舞蹈,7.8,6944,短片,美国,1905,54163.2
高压电,7,6943,剧情/惊悚/恐怖,法国,2003,48601
世界第一初恋：小野寺律的场合 世界一初恋 OVA 小,8.7,6940,动画,日本,2011,60378
谎言的诞生,6.7,6939,喜剧/爱情/奇幻,美国,2009,46491.3
死亡飞车3：地狱烈,5.8,6937,动作,美国,2012,40234.6
富贵再逼人,7.2,6936,喜剧,香港,1988,49939.2
哈维的最后机会,7.4,6931,剧情/爱情,美国/英国,2008,51289.4
分手再说我爱你,6.5,6929,喜剧/爱情,中国大陆/香港,2015,45038.5
极品基老伴：2013,9.2,6928,喜剧,英国,2013,63737.6
身份窃贼,6.1,6928,喜剧/犯罪,美国,2013,42260.8
玩叛游戏,6.5,6925,剧情/悬疑/惊悚/犯罪,美国,2008,45012.5
机动部队—同袍,6.3,6924,剧情/动作/犯罪,香港,2009,43621.2
0.5毫,8.1,6923,剧情,日本,2014,56076.3
